steps,X,Y,yaw,vx,vy,yawdot,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,last_ts,mpc_time
1,153.0,-12.0,-3.1415921209575752,-0.0,0.0,None,774.4553675578719,-0.7464395597675769,1.0,0.06649525463581085,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,1.4204308695625514,-1
2,153.0,-12.0,-3.1415921209575752,-0.0,0.0,0.0,774.4553663877,-0.7464395597669906,1.0,0.001834692433476448,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.13466870691627264,-1
3,153.0,-12.0,-3.1415921209575752,-0.0,0.0,0.0,774.4553663876831,-0.7464395597669911,1.0,0.011718283407390118,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.016681350767612457,-1
4,153.0,-12.0,-3.1415921209575752,-0.0,0.0,0.0,774.4553663876952,-0.7464395597669844,1.0,0.021403372287750244,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.016275078058242798,-1
5,153.0,-12.0,-3.1415921209575752,-0.0,0.0,0.0,774.4553663876901,-0.7464395597669867,1.0,0.03079318441450596,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.01771119050681591,-1
6,153.0,-12.0,-3.1415921209575752,-0.0,0.0,0.0,774.4553663876864,-0.7464395597669884,1.0,0.03979390487074852,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.017625611275434494,-1
7,153.0,-12.0,-3.1415921209575752,-0.0,0.0,0.0,774.455366387688,-0.7464395597669967,1.0,0.04831559956073761,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.033524783328175545,-1
8,153.0,-12.0,-3.1415921209575752,-0.0,0.0,0.0,774.4553663876997,-0.7464395597669946,1.0,0.056273117661476135,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.017274081707000732,-1
9,153.0,-12.0,-3.1415921209575752,-0.0,0.0,0.0,774.4553663876853,-0.7464395597669895,1.0,0.06358695775270462,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.018160834908485413,-1
10,153.0,-12.0,-3.1415921209575752,-0.0,0.0,0.0,774.4553663876892,-0.7464395597669911,1.0,0.07018404453992844,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.02003641240298748,-1
11,153.0,-12.0,-3.1415921209575752,-0.0,0.0,0.0,774.4553663877006,-0.7464395597669884,1.0,0.0759984478354454,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.01569204404950142,-1
12,153.0,-12.0,-3.1415921209575752,-0.0,0.0,0.0,774.455366387695,-0.7464395597669969,1.0,0.0809720903635025,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.01604193076491356,-1
13,153.0,-12.0,-3.1415921209575752,-0.0,0.0,0.0,774.4553663876936,-0.7464395597669923,1.0,0.08505526185035706,0.0,152.79147338867188,-2.308419704437256,152.4966583251953,-20.576040267944336,0.016400814056396484,-1
