steps,X,Y,yaw,vx,vy,yawdot,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,last_ts,mpc_time
1,155.0,-96.0,0.8726650920503556,0.0,0.0,None,915.9227622830406,-1.8293635821619991,1.0,0.15994815528392792,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,1.4964951886795461,-1
2,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574594559,-1.8293635821620864,1.0,-0.013004936277866364,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.10982879158109426,-1
3,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574549791,-1.8293635821620382,1.0,-0.0031213450711220503,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.017511878162622452,-1
4,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574619565,-1.8293635821620409,1.0,0.006563742645084858,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.017400579527020454,-1
5,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574610209,-1.8293635821620489,1.0,0.015953555703163147,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.017638403922319412,-1
6,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.922757454984,-1.829363582162042,1.0,0.02495427615940571,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.01686302199959755,-1
7,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574619562,-1.8293635821620693,1.0,0.03347596898674965,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.01599857024848461,-1
8,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574654614,-1.8293635821620713,1.0,0.04143349081277847,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.017811639234423637,-1
9,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574575799,-1.829363582162099,1.0,0.04874733090400696,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.017060421407222748,-1
10,155.0,-96.0,0.8726650920503556,0.0,0.0,0.0,915.9227574600988,-1.8293635821620793,1.0,0.055344413965940475,0.0,164.10333251953125,-101.85786437988281,149.17352294921875,-91.3272705078125,0.016258206218481064,-1
