steps,X,Y,yaw,vx,vy,progress,error,cmd_throttle,cmd_steer,cmd_brake,next_left_lane_point_x,next_left_lane_point_y,next_right_lane_point_x,next_right_lane_point_y,delta,alpha,kappa,lookahead,target_vel,front_left_delta,front_right_delta
1,90.0,93.0,0.0,0.0,0.0,1889.296347001378,1.1345533227280022,1.0,-1.0577282905578613,0.0,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789,0.02009738881436009,0.010505469403830287,2.225330770881742e-05,None,100.0,0.0,0.0
2,90.0,93.0,0.0,0.0,0.0,1889.2963322104472,1.1345533228085922,1.0,0.07682546973228455,0.0,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789,0.020097805497555753,0.010505687282514614,2.2253369785781553e-05,None,100.0,-3.000626564025879,-5.798013687133789
3,90.0,93.0,0.0,0.0,0.0,1889.296332180689,1.1345533228089497,1.0,0.07682546973228455,0.0,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789,0.020097806335875924,0.010505687720862258,2.225336991067562e-05,None,100.0,-3.220008134841919,1.6197117567062378
4,90.0,93.0,0.0,0.0,0.0,1889.2963321806656,1.134553322808955,1.0,0.07682546973228455,0.0,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789,0.020097806336526865,0.010505687721202627,2.2253369910773906e-05,None,100.0,5.112330913543701,5.377781867980957
5,90.0,93.0,0.0,0.0,0.0,1889.2963321814711,1.134553322808951,1.0,0.07682546973228455,0.0,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789,0.020097806313837993,0.010505687709338888,2.2253369907392906e-05,None,100.0,5.112330913543701,5.377781867980957
6,90.0,93.0,0.0,0.0,0.0,1889.2963321810078,1.1345533228089417,1.0,0.07682546973228455,0.0,90.4774169921875,85.88983917236328,90.52434539794922,100.6597671508789,0.020097806326899895,0.0105056877161688,2.225336990933772e-05,None,100.0,5.112330913543701,5.377781867980957
7,90.00106048583984,93.00003051757812,-1.0652644360316953e-06,0.00582403797815632,0.0007328893166460263,1889.297428600921,1.1345538317795432,1.0,0.07679613679647446,0.0,90.47846984863281,85.88983917236328,90.52539825439453,100.6597671508789,0.02006895069557917,0.010490599459742218,2.2248766469763053e-05,None,100.0,5.112170696258545,5.377781391143799
8,90.00202178955078,92.99996948242188,6.114932171787177e-07,-0.0015750858054573661,-0.0061008138263804685,1889.298362242381,1.1346429458800322,1.0,0.07668246328830719,0.0,90.47943115234375,85.88983154296875,90.52635955810547,100.65975952148438,0.020039429420373327,0.010475163166833956,2.224484773758648e-05,None,100.0,5.110384941101074,5.37569522857666
9,90.00215911865234,92.99994659423828,5.522111287941647e-07,-0.0007636052134088081,0.0004559351797366348,1889.2985012015831,1.1346698386560519,1.0,0.07674222439527512,0.0,90.47956848144531,85.88983154296875,90.52649688720703,100.65975952148438,0.020035625612356608,0.010473174206339933,2.2244266572486225e-05,None,100.0,5.103241920471191,5.367717742919922
10,90.01893615722656,93.00054168701172,0.0005380651706693393,0.7519424911679078,0.03653031227157098,1889.3154019288825,1.134564265818054,1.0,0.07536374032497406,0.0,90.496337890625,85.88977813720703,90.54326629638672,100.65970611572266,0.01852995323902852,0.009685904588735568,2.214360196495094e-05,None,100.0,5.059505939483643,5.281381607055664
11,90.088134765625,93.00333404541016,0.002558963612058262,1.6124198349442007,0.07787345259877791,1889.3850811455418,1.13376642635548,1.0,0.07015518844127655,0.0,90.56553649902344,85.88955688476562,90.61246490478516,100.65948486328125,0.012669028747628697,0.0066218462690490806,2.174417992229599e-05,None,100.0,4.893123626708984,5.109769821166992
12,90.2009048461914,93.0080337524414,0.005787731483771518,2.2917864793045624,0.10414669860350594,1889.498700286044,1.1322288865172696,1.0,0.06129763647913933,0.0,90.67828369140625,85.88919830322266,90.72521209716797,100.65912628173828,0.00314865058738526,0.0016456423765696922,2.112792430522552e-05,None,100.0,4.51166296005249,4.699872016906738
13,90.33338928222656,93.01361846923828,0.009297591587279108,2.7919180568522965,0.11441922860092119,1889.6322817255684,1.1302116614384128,1.0,0.05088919773697853,0.0,90.81076049804688,85.88877868652344,90.8576889038086,100.65870666503906,-0.00763861002787095,-0.00399239314849874,2.0433784601629678e-05,None,100.0,3.9259843826293945,4.0693583488464355
14,90.48403930664062,93.01985168457031,0.012795992816018252,3.2143083450298344,0.11309410941134966,1889.7843051955003,1.1278286195042413,1.0,0.039625003933906555,0.0,90.96138000488281,85.8883056640625,91.00830841064453,100.65823364257812,-0.019149470684615102,-0.010009824864448888,1.966266915233012e-05,None,100.0,3.254349708557129,3.3512001037597656
15,90.68199157714844,93.02772521972656,0.01657508082067874,3.6575538952480757,0.1017388329271753,1889.984260034376,1.1246548671387513,1.0,0.02639661729335785,0.0,91.1593017578125,85.8876724243164,91.20623016357422,100.65760040283203,-0.033009878878802676,-0.017259676014769146,1.8663799190291687e-05,None,100.0,2.531320810317993,2.587831497192383
16,90.8849105834961,93.03533935546875,0.019598691401624495,4.041771237065842,0.08449863234823621,1890.1894804045323,1.1214006656677533,1.0,0.013380144722759724,0.0,91.36219787597656,85.88703155517578,91.40912628173828,100.6569595336914,-0.04594408973146996,-0.0240318135715995,1.7647471805462407e-05,None,100.0,1.687363624572754,1.710970401763916
17,91.13819122314453,93.04399871826172,0.022144492392009905,4.461864227234128,0.05649199928482258,1890.4459621203569,1.1174751202715862,1.0,-0.00044195231748744845,0.0,91.61544799804688,85.88622283935547,91.6623764038086,100.6561508178711,-0.06024125373951297,-0.03152834073239904,1.638382414681181e-05,None,100.0,0.8550959825515747,0.8595865964889526
18,91.42223358154297,93.05254364013672,0.02362971860659568,4.881730763746586,0.024891360168775564,1890.7340778207133,1.1132164523564982,1.0,-0.014406447298824787,0.0,91.89945983886719,85.88532257080078,91.9463882446289,100.6552505493164,-0.07432593757675104,-0.03892783170571927,1.4968936843654631e-05,None,100.0,-0.028244340792298317,-0.02817550301551819
19,91.6935806274414,93.0593032836914,0.0237047968627953,5.246678385213475,-0.011169207816145138,1891.0097790578845,1.1094472767736023,1.0,-0.026641737669706345,0.0,92.17079162597656,85.88446044921875,92.21772003173828,100.65438842773438,-0.08588327681719359,-0.04501261592913567,1.3617938001539709e-05,None,100.0,-0.9143210649490356,-0.9040350317955017
20,91.98930358886719,93.06483459472656,0.022348159716968317,5.538317359809316,-0.04705090477721012,1891.310794890124,1.1058347772783577,1.0,-0.037586383521556854,0.0,92.46649169921875,85.8835220336914,92.51342010498047,100.65345001220703,-0.09649062349489161,-0.050609336580263016,1.2189466520477949e-05,None,100.0,-1.6799763441085815,-1.6505945920944214
21,92.30877685546875,93.06879425048828,0.019668634750347302,5.767605398634481,-0.07572566928614846,1891.6366140591663,1.1022398036517609,1.0,-0.0478217788040638,0.0,92.78594970703125,85.88250732421875,92.83287811279297,100.65243530273438,-0.10652874117315687,-0.055917753504041004,1.0685833430386555e-05,None,100.0,-2.362638473510742,-2.3088996410369873
22,92.61649322509766,93.07047271728516,0.01594134522888886,6.032650118460637,-0.10996798571485569,1891.9511104551598,1.0990933400471345,1.0,-0.056802377104759216,0.0,93.09365844726562,85.88153076171875,93.14058685302734,100.65145874023438,-0.11490350930131456,-0.06035643535283612,9.20149069129419e-06,None,100.0,-2.9998908042907715,-2.911243438720703
23,92.9556884765625,93.06952667236328,0.01058204042280813,6.32734722931618,-0.14253270881400038,1892.29853791771,1.096182165449553,1.0,-0.06505736708641052,0.0,93.43284606933594,85.88044738769531,93.47977447509766,100.65037536621094,-0.12277764976552082,-0.06453869128112365,7.551829151882341e-06,None,100.0,-3.552048683166504,-3.4288339614868164
