ss,right,left
0.0,9.364476428939724,8.905516909709974
0.5,9.363333011343498,8.906662178038712
1.0,9.362237654441753,8.907757576366988
1.5,9.36124113679512,8.908754097731453
2.0,9.360320347143192,8.909674887120495
2.5,9.359481836442646,8.91051339822651
3.0,9.358726829403563,8.911268402569204
3.5,9.358058169915676,8.911937063552703
4.0,9.357438097325904,8.912557137463267
4.5,9.356900969449882,8.91309424685014
5.0,9.356437773256657,8.91355745226883
5.5,9.356038153958421,8.913957079963264
6.0,9.355707043962564,8.91428819030413
6.5,9.355434711146732,8.914560522034384
7.0,9.355229616642257,8.91476561043117
7.5,9.355076472742402,8.914918756975398
8.0,9.354983722398922,8.915011504219073
8.5,9.354942230264434,8.915052997521816
9.0,9.354952191531103,8.91504303909445
9.5,9.355016116521584,8.914979114767227
10.0,9.355125707781074,8.914869513217432
10.5,9.35528321793992,8.914711999445343
11.0,9.355478151592301,8.914517071829502
11.5,9.355724014044947,8.914271220778666
12.0,9.355998646361597,8.913996579622834
12.5,9.356310988199432,8.913684246409199
13.0,9.35666483489397,8.913330399554251
13.5,9.357043711288874,8.912951523439093
14.0,9.35745471542204,8.91254050194482
14.5,9.357896034619761,8.912099199696273
15.0,9.358358569470816,8.911636660451562
15.5,9.358855175560702,8.911140057125507
16.0,9.3593617989395,8.910633435824346
16.5,9.359893274174969,8.91010196063869
17.0,9.360439102567463,8.909556131967967
17.5,9.360999284488134,8.908995946653816
18.0,9.361572074209585,8.908423156867986
18.5,9.362156952623646,8.907838281324688
19.0,9.362746132449137,8.907249102335618
19.5,9.363348999416658,8.906646235097801
20.0,9.36395130537292,8.90604392855223
20.5,9.364552196334325,8.905443038148881
21.0,9.365156966391142,8.904838268584113
21.5,9.365755133393769,8.9042401002135
22.0,9.366355074179275,8.903640160152525
22.5,9.366944385020492,8.903050847173613
23.0,9.367515654582023,8.902479579767894
23.5,9.36808784762185,8.9019073872442
24.0,9.368642005634696,8.901353228564068
24.5,9.369177585209382,8.900817647334184
25.0,9.369699298970346,8.900295925971987
25.5,9.370197374652935,8.899797841549455
26.0,9.370674631873946,8.899320567272557
26.5,9.371124526040473,8.898872633639138
27.0,9.371549010197713,8.898448877632086
27.5,9.371947094824716,8.898050876050783
28.0,9.372309870283365,8.89768809853494
28.5,9.372643169137044,8.897354799469609
29.0,9.37293388216773,8.897064086102972
29.5,9.373194910600805,8.896803058218829
30.0,9.37340781756875,8.89659015125288
30.5,9.373591103669252,8.896406865264465
31.0,9.373714584799783,8.896283383330875
31.5,9.373798932160444,8.896199029876453
32.0,9.37383462076263,8.896163335460972
32.5,9.373817569086697,8.896180398573557
33.0,9.37374865562098,8.89624931288929
33.5,9.373625139404146,8.89637282936471
34.0,9.373438116044404,8.896559848633677
34.5,9.373196432619553,8.896801535516449
35.0,9.37289087241163,8.897107096518138
